method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,50,6,200,tTest,2+n,5,0.906290,0.569403
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,10,tTest,2+n,5,0.800138,0.296893
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,30,tTest,2+n,5,0.798368,0.303087
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,50,tTest,2+n,5,0.805672,0.311959
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,tTest,2+n,5,0.805426,0.314240
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,200,tTest,2+n,5,0.798764,0.303886
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,10,tTest,2+n,5,0.797911,0.301687
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,30,tTest,2+n,5,0.802804,0.312203
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,50,tTest,2+n,5,0.802184,0.309153
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,100,tTest,2+n,5,0.803297,0.306898
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,200,tTest,2+n,5,0.797402,0.304467
