method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,10,tTest,2+n,5,0.797962,0.299629
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,30,tTest,2+n,5,0.798186,0.305150
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,50,tTest,2+n,5,0.801200,0.309325
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,tTest,2+n,5,0.799059,0.308920
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,200,tTest,2+n,5,0.797029,0.298077
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,10,tTest,2+n,5,0.794897,0.296695
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,30,tTest,2+n,5,0.802116,0.308692
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,50,tTest,2+n,5,0.805128,0.310265
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,100,tTest,2+n,5,0.800722,0.307658
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,50,6,200,tTest,2+n,5,0.799426,0.304335
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,30,6,10,tTest,2+n,5,0.797392,0.295658
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,30,6,30,tTest,2+n,5,0.799780,0.306732
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,30,6,50,tTest,2+n,5,0.803322,0.300229
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,30,6,100,tTest,2+n,5,0.810105,0.323900
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,30,6,200,tTest,2+n,5,0.800165,0.306053
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,10,6,10,tTest,2+n,5,0.798088,0.300153
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,10,6,30,tTest,2+n,5,0.798300,0.295984
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,10,6,50,tTest,2+n,5,0.802538,0.301782
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,10,6,100,tTest,2+n,5,0.800459,0.309580
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,10,6,200,tTest,2+n,5,0.799718,0.305208
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+n,5,0.790932,0.335290
